2013-12-12 19:13:42	admin	http://localhost/comTrac/processwire/setup/field/	Compile Error: 	require(): Failed opening required 'C:/xampp/htdocs/comTrac/site/templates-admin/controller.php' (include_path='.;C:\xampp\php\PEAR') (line 13 of C:\xampp\htdocs\comTrac\site\templates\admin.php)
2013-12-12 19:13:47	admin	http://localhost/comTrac/processwire/setup/field/	Compile Error: 	require(): Failed opening required 'C:/xampp/htdocs/comTrac/site/templates-admin/controller.php' (include_path='.;C:\xampp\php\PEAR') (line 13 of C:\xampp\htdocs\comTrac\site\templates\admin.php)
2013-12-15 22:31:01	?	http://localhost/?/	Recoverable Fatal Error: 	Argument 1 passed to Template::setFieldgroup() must be an instance of Fieldgroup, null given, called in C:\xampp\htdocs\comTrac\wire\core\Template.php on line 256 and defined (line 353 of C:\xampp\htdocs\comTrac\wire\core\Template.php)
2013-12-15 23:01:57	admin	http://localhost/comTrac/	Parse Error: 	syntax error, unexpected '
2013-12-15 23:01:59	admin	http://localhost/comTrac/how-it-works/features/	Parse Error: 	syntax error, unexpected '
2013-12-16 00:31:20	admin	http://localhost/comTrac/	Compile Error: 	Can't use method return value in write context (line 12 of C:\xampp\htdocs\comTrac\site\templates\home.php)
2013-12-17 02:09:47	admin	http://localhost/comTrac/	Error: 	Exception: Method Page::first does not exist or is not callable in this context (in C:\xampp\htdocs\comTrac\wire\core\Wire.php line 232)  #0 C:\xampp\htdocs\comTrac\site\templates\head.inc(56): Wire->__call('first', Array) #1 C:\xampp\htdocs\comTrac\site\templates\head.inc(56): Page->first() #2 C:\xampp\htdocs\comTrac\site\templates\home.php(11): include('C:\xampp\htdocs...') #3 C:\xampp\htdocs\comTrac\wire\core\TemplateFile.php(125): require('C:\xampp\htdocs...') #4 [internal function]: TemplateFile->___render() #5 C:\xampp\htdocs\comTrac\wire\core\Wire.php(271): call_user_func_array(Array, Array) #6 C:\xampp\htdocs\comTrac\wire\core\Wire.php(229): Wire->runHooks('render', Array) #7 C:\xampp\htdocs\comTrac\wire\modules\PageRender.module(250): Wire->__call('render', Array) #8 C:\xampp\htdocs\comTrac\wire\modules\PageRender.module(250): TemplateFile->render() #9 [internal function]: PageRender->___renderPage(Object(HookEvent)) #10 C:\xampp\htdocs\comTrac\wire\core\Wire.php(271): call_user_func_array(Array, Arr
2013-12-17 02:24:51	admin	http://localhost/comTrac/processwire/faq-list/	Parse Error: 	syntax error, unexpected end of file (line 123 of C:\xampp\htdocs\comTrac\site\templates\head_admin.inc)
2013-12-17 02:25:27	admin	http://localhost/comTrac/processwire/faq-list/	Parse Error: 	syntax error, unexpected end of file (line 124 of C:\xampp\htdocs\comTrac\site\templates\head_admin.inc)
2013-12-17 02:26:14	admin	http://localhost/comTrac/processwire/faq-list/	Parse Error: 	syntax error, unexpected end of file (line 123 of C:\xampp\htdocs\comTrac\site\templates\head_admin.inc)
2013-12-17 02:26:32	admin	http://localhost/comTrac/processwire/faq-list/	Parse Error: 	syntax error, unexpected end of file (line 125 of C:\xampp\htdocs\comTrac\site\templates\head_admin.inc)
2013-12-18 01:05:15	admin	http://localhost/comTrac/search/	Parse Error: 	syntax error, unexpected '
2013-12-18 21:52:27	admin	http://localhost/comTrac/company/contact/	Parse Error: 	syntax error, unexpected '!', expecting '(' (line 35 of C:\xampp\htdocs\comTrac\site\templates\contact.php)
2013-12-18 21:52:45	admin	http://localhost/comTrac/company/contact/	Parse Error: 	syntax error, unexpected '{' (line 35 of C:\xampp\htdocs\comTrac\site\templates\contact.php)
2013-12-18 21:52:49	admin	http://localhost/comTrac/company/contact/	Parse Error: 	syntax error, unexpected '{' (line 35 of C:\xampp\htdocs\comTrac\site\templates\contact.php)
2013-12-18 23:45:12	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 115 of C:\xampp\htdocs\comTrac\site\templates\process_email.php)
2013-12-18 23:46:04	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 115 of C:\xampp\htdocs\comTrac\site\templates\process_email.php)
2013-12-18 23:46:19	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 115 of C:\xampp\htdocs\comTrac\site\templates\process_email.php)
2013-12-18 23:47:14	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 117 of C:\xampp\htdocs\comTrac\site\templates\process_email.php)
